codigo_ocorrencia;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_registro_segmento;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;aeronave_peso_maximo_decolagem;ocorrencia_classificacao;ocorrencia_uf;ocorrencia_aeronaves_envolvidas;ocorrencia_saida_pista;ocorrencia_ano;ocorrencia_periodo;ocorrencia_tipo
78651;AVIÃO;BOEING COMPANY;JATO;BIMOTOR;REGULAR;CRUZEIRO;NENHUM;0;ACIMA 5700KG;INCIDENTE;DF;1;NÃO;2019;MANHÃ;FALHA OU MAU FUNCIONAMENTO DO MOTOR
78652;AVIÃO;PIPER AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;CORRIDA APÓS POUSO;SUBSTANCIAL;0;ATÉ 2250KG;INCIDENTE GRAVE;GO;1;SIM;2019;NOITE;EXCURSÃO DE PISTA
78653;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;CORRIDA APÓS POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE GRAVE;MS;1;NÃO;2019;TARDE;INDETERMINADO
78655;AVIÃO;AIR TRACTOR;TURBOÉLICE;MONOMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0;ENTRE 2250KG E 5700KG;ACIDENTE;BA;1;SIM;2019;NOITE;CONTATO ANORMAL COM A PISTA
78656;AVIÃO;SOCATA;PISTÃO;MONOMOTOR;PARTICULAR;CIRCUITO DE TRÁFEGO;DESTRUÍDA;1;ATÉ 2250KG;ACIDENTE;MG;1;NÃO;2019;NOITE;PERDA DE CONTROLE EM VOO
78657;ULTRALEVE;NÃO INFORMADO;PISTÃO;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;LEVE;0;ATÉ 2250KG;INCIDENTE GRAVE;PR;1;NÃO;2019;NOITE;COM HÉLICE
78661;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;CRUZEIRO;NÃO INFORMADO;0;ATÉ 2250KG;ACIDENTE;PA;1;NÃO;2019;TARDE;OUTROS
78662;AVIÃO;PIPER AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;DECOLAGEM;NENHUM;0;ATÉ 2250KG;INCIDENTE;SP;1;NÃO;2019;NOITE;FALHA DO MOTOR EM VOO
78665;AVIÃO;CESSNA AIRCRAFT;TURBOÉLICE;MONOMOTOR;TÁXI AÉREO;TÁXI;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;AM;1;SIM;2019;TARDE;EXCURSÃO DE PISTA
78669;AVIÃO;PIPER AIRCRAFT;PISTÃO;BIMOTOR;PARTICULAR;DESCIDA;NENHUM;0;ATÉ 2250KG;INCIDENTE;RS;1;NÃO;2019;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
78673;AVIÃO;BEECH AIRCRAFT;PISTÃO;BIMOTOR;PARTICULAR;POUSO;LEVE;0;ENTRE 2250KG E 5700KG;INCIDENTE;SP;1;NÃO;2019;TARDE;ESTOURO DE PNEU
